mrna_id	n_lncRNAs
LOC111107689	1525
LOC111103610	1522
LOC111132339	1516
LOC111111320	1514
LOC111105683	1512
LOC111126813	1512
LOC111127923	1510
LOC111106094	1508
LOC111122566	1507
LOC111132218	1506
LOC111132345	1506
LOC111109495	1504
LOC111111792	1503
LOC111112351	1501
LOC111119012	1501
LOC111120185	1501
LOC111120747	1501
LOC111122921	1501
LOC111132884	1500
LOC111104812	1499
LOC111124328	1499
LOC111120620	1498
LOC111109230	1496
LOC111110575	1496
LOC111122679	1496
LOC111128601	1495
LOC111111289	1494
LOC111132623	1494
LOC111136947	1494
LOC111129560	1493
LOC111118716	1491
LOC111120136	1491
LOC111121580	1491
LOC111123036	1491
LOC111132789	1491
LOC111109298	1490
LOC111109370	1489
LOC111128657	1489
LOC111128732	1488
LOC111107536	1486
LOC111122586	1484
LOC111122089	1483
LOC111128774	1483
LOC111120814	1481
LOC111109007	1480
LOC111136699	1480
LOC111130434	1479
LOC111108808	1477
LOC111136116	1477
LOC111122008	1476
LOC111103774	1475
LOC111107775	1475
LOC111118062	1475
LOC111125683	1474
LOC111120646	1473
LOC111112478	1472
LOC111113791	1472
LOC111127840	1471
LOC111113324	1470
LOC111107264	1469
LOC111110495	1469
LOC111115753	1469
LOC111121950	1469
LOC111123717	1469
LOC111123822	1469
LOC111119301	1468
LOC111122138	1468
LOC111124300	1468
LOC111100025	1467
LOC111133093	1467
LOC111105682	1466
LOC111131739	1466
LOC111099418	1465
LOC111108603	1464
LOC111116234	1463
LOC111133868	1463
LOC111109148	1462
LOC111109176	1462
LOC111113936	1462
LOC111118817	1462
LOC111135463	1462
LOC111112322	1461
LOC111120254	1461
LOC111120448	1461
LOC111124199	1461
LOC111116848	1460
LOC111129709	1460
LOC111119542	1459
LOC111105325	1458
LOC111125720	1458
LOC111128465	1458
LOC111131254	1458
LOC111124346	1457
LOC111114170	1455
LOC111131306	1454
LOC111108341	1450
LOC111120616	1450
LOC111123956	1449
LOC111128733	1449
LOC111099151	1448
LOC111134137	1448
LOC111108340	1447
LOC111109074	1447
LOC111133547	1447
LOC111104208	1446
LOC111125430	1446
LOC111109177	1445
LOC111127101	1445
LOC111130256	1445
LOC111101953	1444
LOC111119566	1443
LOC111106598	1442
LOC111106860	1442
LOC111113959	1442
LOC111099450	1440
LOC111113189	1439
LOC111108110	1437
LOC111118229	1437
LOC111112483	1436
LOC111118881	1436
LOC111119080	1436
LOC111132784	1435
LOC111100946	1433
LOC111128763	1433
LOC111132219	1433
LOC111132887	1433
LOC111123258	1432
LOC111123554	1432
LOC111128690	1432
LOC111114317	1431
LOC111119997	1430
LOC111135831	1430
LOC111118160	1429
LOC111106522	1428
LOC111108854	1428
LOC111113888	1428
LOC111121507	1428
LOC111132110	1428
LOC111119173	1427
LOC111128950	1427
LOC111105252	1426
LOC111118732	1425
LOC111125953	1425
LOC111124194	1424
LOC111118111	1423
LOC111132569	1423
LOC111134403	1423
LOC111115708	1422
LOC111130525	1422
LOC111117727	1421
LOC111121935	1421
LOC111101620	1420
LOC111111740	1420
LOC111114021	1419
LOC111114716	1419
LOC111130721	1419
LOC111108874	1418
LOC111111009	1418
LOC111112300	1418
LOC111129010	1418
LOC111129057	1418
LOC111130027	1418
LOC111125944	1417
LOC111113850	1416
LOC111132529	1416
LOC111134217	1416
LOC111104069	1415
LOC111124266	1415
LOC111129554	1415
LOC111134955	1415
LOC111125717	1414
LOC111133229	1414
LOC111123972	1413
LOC111119607	1412
LOC111120348	1412
LOC111112656	1411
LOC111114141	1411
LOC111126720	1411
LOC111104547	1409
LOC111112691	1409
LOC111113172	1409
LOC111135334	1409
LOC111114747	1408
LOC111130991	1408
LOC111134239	1408
LOC111108887	1407
LOC111119200	1407
LOC111128730	1407
LOC111131329	1407
LOC111123442	1406
LOC111101969	1405
LOC111128678	1405
LOC111132461	1405
LOC111136892	1405
LOC111101893	1404
LOC111123602	1404
LOC111129263	1404
LOC111108361	1403
LOC111120298	1403
LOC111135843	1403
LOC111119692	1402
LOC111137184	1402
LOC111103695	1401
LOC111106618	1400
